				--
				--
				--
				--
				--
				--
				--
52.62626	7.05889	52.62626	1.25963	5.60394
55.85859	6.79216	55.85859	1.19081	5.7038
59.09091	6.51194	59.09091	1.12523	5.78721
62.32323	6.25284	62.32323	1.06475	5.8726
65.55556	5.97501	65.55556	1.01067	5.91192
68.78788	5.76926	68.78788	0.96115	6.00246
72.0202	5.55476	72.0202	0.9173	6.05559
75.25253	5.34854	75.25253	0.878	6.0917
78.48485	5.12829	78.48485	0.84337	6.08071
81.71717	4.9167	81.71717	0.81325	6.04573
84.94949	4.73137	84.94949	0.7861	6.0188
88.18182	4.56184	88.18182	0.76165	5.98945
91.41414	4.40736	91.41414	0.74026	5.95378
94.64646	4.27809	94.64646	0.72183	5.9267
97.87879	4.15494	97.87879	0.7054	5.89016
101.11111	4.0285	101.11111	0.68572	5.87484
104.34343	3.92202	104.34343	0.66904	5.86214
107.57576	3.82776	107.57576	0.65342	5.85808
110.80808	3.74029	110.80808	0.63933	5.85034
114.0404	3.65607	114.0404	0.62637	5.83689
117.27273	3.57275	117.27273	0.614	5.81885
120.50505	3.48913	120.50505	0.60264	5.78971
123.73737	3.40501	123.73737	0.59258	5.7461
126.9697	3.32097	126.9697	0.58384	5.68814
130.20202	3.23818	130.20202	0.57502	5.6314
133.43434	3.15703	133.43434	0.56674	5.57051
136.66667	3.0829	136.66667	0.56024	5.50287
139.89899	3.01288	139.89899	0.55369	5.44149
143.13131	2.94815	143.13131	0.54767	5.38309
146.36364	2.88602	146.36364	0.54168	5.3279
149.59596	2.82719	149.59596	0.53528	5.28174
152.82828	2.77235	152.82828	0.52864	5.24428
156.06061	2.7199	156.06061	0.52186	5.2119
159.29293	2.67111	159.29293	0.51503	5.18631
162.52525	2.62402	162.52525	0.50816	5.16379
165.75758	2.5791	165.75758	0.50162	5.14153
168.9899	2.53647	168.9899	0.49511	5.12306
172.22222	2.49428	172.22222	0.48883	5.1025
175.45455	2.45545	175.45455	0.48287	5.08513
178.68687	2.4165	178.68687	0.47707	5.06528
181.91919	2.37967	181.91919	0.47214	5.04022
185.15152	2.34513	185.15152	0.46727	5.01883
188.38384	2.31257	188.38384	0.46255	4.99964
191.61616	2.28108	191.61616	0.45787	4.98194
194.84848	2.2468	194.84848	0.45342	4.9552
198.08081	2.21436	198.08081	0.44948	4.92644
201.31313	2.18203	201.31313	0.44552	4.89774
204.54545	2.15159	204.54545	0.44113	4.87745
207.77778	2.12078	207.77778	0.43735	4.84919
211.0101	2.09109	211.0101	0.43331	4.82581
214.24242	2.0587	214.24242	0.4289	4.79992
217.47475	2.02373	217.47475	0.42468	4.76534
220.70707	1.98855	220.70707	0.4204	4.73016
223.93939	1.95346	223.93939	0.41611	4.69457
227.17172	1.91755	227.17172	0.41183	4.65619
230.40404	1.88086	230.40404	0.40722	4.61879
233.63636	1.84343	233.63636	0.40282	4.57636
236.86869	1.8056	236.86869	0.39843	4.53182
240.10101	1.76833	240.10101	0.39397	4.48844
243.33333	1.73137	243.33333	0.38937	4.44653
246.56566	1.69568	246.56566	0.38459	4.40905
249.79798	1.66044	249.79798	0.37946	4.37579
253.0303	1.62594	253.0303	0.37429	4.34411
256.26263	1.59163	256.26263	0.36899	4.31353
259.49495	1.55787	259.49495	0.36346	4.28616
262.72727	1.52477	262.72727	0.35775	4.26212
265.9596	1.49203	265.9596	0.35197	4.23914
269.19192	1.4594	269.19192	0.34578	4.22064
272.42424	1.42705	272.42424	0.33905	4.20903
275.65657	1.39296	275.65657	0.33194	4.19642
278.88889	1.35803	278.88889	0.32485	4.18049
282.12121	1.3227	282.12121	0.31739	4.16741
285.35354	1.28732	285.35354	0.30957	4.15843
288.58586	1.25152	288.58586	0.3012	4.15516
291.81818	1.21468	291.81818	0.29227	4.15598
295.05051	1.17714	295.05051	0.28321	4.15647
298.28283	1.13735	298.28283	0.2732	4.1631
301.51515	1.09444	301.51515	0.26172	4.18168
304.74747	1.0458	304.74747	0.24763	4.22322
307.9798	0.98322	307.9798	0.22584	4.35358
311.21212	0.88282	311.21212	0.21671	4.07376
314.44444	0.8823	314.44444	0.21684	4.06899
317.67677	0.87566	317.67677	0.21672	4.04057
320.90909	0.86643	320.90909	0.21499	4.03001
324.14141	0.85678	324.14141	0.2132	4.01864
327.37374	0.84703	327.37374	0.21153	4.00435
330.60606	0.83745	330.60606	0.21004	3.98703
333.83838	0.82811	333.83838	0.20845	3.97276
337.07071	0.81918	337.07071	0.20709	3.95563
340.30303	0.8104	340.30303	0.20573	3.93914
343.53535	0.80196	343.53535	0.20435	3.92443
346.76768	0.79383	346.76768	0.20302	3.91011
350	0.78586	350	0.20167	3.89682
