0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
3.66224	0.04652	0	0.04652	3.66224	0.01979	0	0.01979		3.66224	0.00466	0.01208	0	0.01674	3.66224	0.00789	0.01756	0	0.02545
7.4986	0.06693	0	0.06693	7.4986	0.18386	0	0.18386		7.4986	0.00661	0.04317	0	0.04978	7.4986	0.02088	0.10228	0	0.12316
6.51009	0.09197	0	0.09197	6.51009	0.15792	0	0.15792		6.51009	0.0065	0.03072	0	0.03722	6.51009	0.01865	0.06243	0	0.08108
8.51297	0.06824	0	0.06824	8.51297	0.2636	0	0.2636		8.51297	0.0094	0.05253	0	0.06193	8.51297	0.0307	0.18806	0	0.21876
7.2956	0.07389	0.00206	0.07594	7.2956	0.08907	0	0.08907		7.2956	0.00641	0.02986	0	0.03627	7.2956	0.01279	0.06884	0	0.08164
3.96396	0.0334	0	0.0334	3.96396	0.00964	0	0.00964		3.96396	0.00472	0.01144	0	0.01616	3.96396	0.00619	0.01506	0	0.02125
9.04186	0.10329	0	0.10329	9.04186	0.13887	0	0.13887		9.04186	0.01028	0.05971	0	0.07	9.04186	0.02871	0.1754	0	0.20411
8.36618	0.10105	0	0.10105	8.36618	0.13113	0	0.13113		8.36618	0.00779	0.05128	0	0.05907	8.36618	0.01722	0.12258	0	0.1398
1.37124	0.01072	0	0.01072	1.37124	0.01199	0	0.01199		1.37124	0.00283	0.00494	0	0.00777	1.37124	0.00843	0.01039	0	0.01882
6.37846	0.05217	0	0.05217	6.37846	0.0389	0	0.0389		6.37846	0.00559	0.01167	0	0.01726	6.37846	0.00744	0.02334	0	0.03078
8.09117	0.12766	0	0.12766	8.09117	0.14217	0	0.14217		8.09117	0.01021	0.05845	0	0.06866	8.09117	0.0211	0.1311	0	0.1522
8.01446	0.10171	0	0.10171	8.01446	0.15831	0.03334	0.19165		8.01446	0.0094	0.04315	0	0.05255	8.01446	0.01563	0.09426	0	0.10989
8.69781	0.10778	0	0.10778	8.69781	0.19694	0	0.19694		8.69781	0.01013	0.0677	0	0.07782	8.69781	0.02961	0.18385	0	0.21346
7.85764	0.11857	0	0.11857	7.85764	0.10866	0	0.10866		7.85764	0.0079	0.05304	0	0.06094	7.85764	0.01791	0.0946	0	0.1125
6.67398	0.04378	0	0.04378	6.67398	0.05323	0	0.05323		6.67398	0.00356	0.01802	0	0.02158	6.67398	0.01068	0.03545	0	0.04613
8.87477	0.07404	0	0.07404	8.87477	0.26401	0	0.26401		8.87477	0.00945	0.06416	0	0.07361	8.87477	0.03094	0.19593	0	0.22688
8.82481	0.08502	0	0.08502	8.82481	0.15267	0	0.15267		8.82481	0.0081	0.08368	0	0.09179	8.82481	0.02684	0.17095	0	0.19779
0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
6.28818	0.0483	0	0.0483	6.28818	0.02258	0	0.02258		6.28818	0.00411	0.01032	0	0.01443	6.28818	0.00658	0.01478	0	0.02135
8.91903	0.14053	0	0.14053	8.91903	0.22784	0	0.22784		8.91903	0.01007	0.07021	0	0.08028	8.91903	0.03066	0.17655	0	0.20721
9.04717	0.14612	0.00223	0.14836	9.04717	0.10019	0	0.10019		9.04717	0.01092	0.0859	0	0.09682	9.04717	0.02623	0.16264	0	0.18887
9.26185	0.03835	0	0.03835	9.26185	0.21476	0	0.21476		9.26185	0.00843	0.04316	0	0.05159	9.26185	0.03127	0.18957	0	0.22085
8.94175	0.14727	0	0.14727	8.94175	0.13581	0	0.13581		8.94175	0.01428	0.07882	0	0.09311	8.94175	0.02711	0.18354	0	0.21065
6.45692	0.03812	0	0.03812	6.45692	0.02078	0	0.02078		6.45692	0.00458	0.01251	0	0.01709	6.45692	0.0064	0.0186	0	0.02499
9.31836	0.08514	0	0.08514	9.31836	0.12466	0	0.12466		9.31836	0.01243	0.07536	0	0.08779	9.31836	0.03156	0.19491	0	0.22646
9.30325	0.13373	0	0.13373	9.30325	0.08378	0	0.08378		9.30325	0.01425	0.08412	0	0.09837	9.30325	0.02728	0.18564	0	0.21292
1.37124	0.01072	0	0.01072	1.37124	0.01199	0	0.01199		1.37124	0.00285	0.00494	0	0.00778	1.37124	0.00841	0.01039	0	0.0188
6.78166	0.05625	0	0.05625	6.78166	0.03795	0	0.03795		6.78166	0.00629	0.02668	0	0.03297	6.78166	0.00843	0.05093	0	0.05935
8.78022	0.19374	0	0.19374	8.78022	0.15371	0.07747	0.23118		8.78022	0.01237	0.08088	0	0.09325	8.78022	0.02364	0.16669	2.07696E-4	0.19053
8.18915	0.14682	0	0.14682	8.18915	0.18327	0.01575	0.19902		8.18915	0.01212	0.06176	0	0.07388	8.18915	0.01821	0.11878	0	0.13699
9.15073	0.09273	0	0.09273	9.15073	0.15269	0	0.15269		9.15073	0.01133	0.07016	0	0.08149	9.15073	0.03338	0.1884	0	0.22178
8.83305	0.14946	0.02736	0.17682	8.83305	0.09269	0	0.09269		8.83305	0.00886	0.07185	3.64853E-5	0.08074	8.83305	0.02	0.15319	0	0.17319
6.67398	0.04247	0	0.04247	6.67398	0.05454	0	0.05454		6.67398	0.00354	0.01785	0	0.02139	6.67398	0.0107	0.03563	0	0.04633
9.42659	0.06332	0	0.06332	9.42659	0.14804	0	0.14804		9.42659	0.01013	0.06532	0	0.07545	9.42659	0.03099	0.18199	0	0.21298
8.82481	0.07611	0	0.07611	8.82481	0.16158	0	0.16158		8.82481	0.00802	0.07908	0	0.0871	8.82481	0.02703	0.17556	0	0.20259
0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
